"DispNum","StDay","StMon","StYear","EndDay","EndMon","EndYear","Outcome","Settle","Fatality","FatalPre","MaxDur","MinDur","HiAct","HostLev","Recip","NumA","NumB","Link1","Link2","Link3","Ongo2001","Version"
3372,19,9,1951,2,7,1952,4,3,3,-9,288,288,16,4,1,1,1,0,0,0,0,3.1
3373,24,1,1953,6,10,1956,5,3,3,-9,1352,1352,16,4,1,1,1,0,0,0,0,3.1
3374,24,12,1952,26,3,1954,5,3,0,0,458,458,15,4,1,1,1,0,0,0,0,3.1
3375,3,4,1957,28,4,1961,5,3,3,-9,1487,1487,16,4,1,1,1,0,0,0,0,3.1
3376,20,8,1962,30,11,1962,5,3,0,0,103,103,7,3,0,1,1,0,0,0,0,3.1
3377,23,7,1963,23,7,1963,5,3,-9,-9,1,1,17,4,1,1,1,0,0,0,0,3.1
3378,22,4,1964,3,3,1965,5,3,0,0,316,316,15,4,1,1,1,0,0,0,0,3.1
3379,18,2,1966,29,11,1966,5,3,-9,-9,285,285,16,4,1,1,1,0,0,0,0,3.1
3380,25,10,1973,25,7,1975,5,1,-9,-9,639,639,17,4,1,1,1,0,0,0,0,3.1
3381,15,10,1975,6,3,1976,5,3,0,0,144,144,1,2,0,1,1,0,0,0,0,3.1
3382,14,11,1977,19,11,1977,5,3,0,0,6,6,8,3,0,1,1,0,0,0,0,3.1
3383,3,7,1979,3,7,1979,6,1,-9,-9,1,1,7,3,0,1,1,0,0,0,0,3.1
3384,20,1,1983,21,1,1983,3,1,0,0,2,2,7,3,0,1,1,0,0,0,0,3.1
3385,16,8,1983,5,7,1985,7,1,0,0,690,690,15,4,1,1,1,0,0,0,0,3.1
3386,23,12,1949,7,1,1950,5,1,-9,-9,16,16,17,4,1,1,1,0,0,0,0,3.1
3387,8,8,1970,17,10,1971,5,3,-9,-9,436,436,16,4,1,1,1,0,0,0,0,3.1
3400,12,7,1950,12,7,1950,4,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3401,28,12,1951,28,12,1951,5,3,0,0,1,1,16,4,1,1,1,0,0,0,0,3.1
3402,12,8,1952,12,8,1952,5,3,0,0,1,1,7,3,0,1,1,0,0,0,0,3.1
3403,28,2,1954,28,2,1954,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3404,6,4,1954,25,2,1955,5,3,1,-9,326,326,17,4,1,1,1,0,0,0,0,3.1
3405,14,10,1955,9,6,1960,5,3,1,-9,1701,1701,16,4,1,2,1,0,0,0,0,3.1
